Timestamp,Radiowa 20B CH kW
2022-03-01T00:00:00+01:00 Warsaw,27.809686802890567
2022-03-01T01:00:00+01:00 Warsaw,27.791775335205926
2022-03-01T02:00:00+01:00 Warsaw,28.719571069973483
2022-03-01T03:00:00+01:00 Warsaw,29.874718535034745
2022-03-01T04:00:00+01:00 Warsaw,30.605253437969424
2022-03-01T05:00:00+01:00 Warsaw,30.707321634500744
2022-03-01T06:00:00+01:00 Warsaw,31.805365223222307
2022-03-01T07:00:00+01:00 Warsaw,29.821462525605416
2022-03-01T08:00:00+01:00 Warsaw,24.328781794762964
2022-03-01T09:00:00+01:00 Warsaw,16.988257707716873
2022-03-01T10:00:00+01:00 Warsaw,17.543635018474525
2022-03-01T11:00:00+01:00 Warsaw,16.576235789065006
2022-03-01T12:00:00+01:00 Warsaw,15.425944390810988
2022-03-01T13:00:00+01:00 Warsaw,14.293493128124053
2022-03-01T14:00:00+01:00 Warsaw,13.616324935939579
2022-03-01T15:00:00+01:00 Warsaw,13.574959054390591
2022-03-01T16:00:00+01:00 Warsaw,15.015182746171952
2022-03-01T17:00:00+01:00 Warsaw,18.75741122480896
2022-03-01T18:00:00+01:00 Warsaw,21.861506281453813
2022-03-01T19:00:00+01:00 Warsaw,23.927990181681
2022-03-01T20:00:00+01:00 Warsaw,24.638703099952803
2022-03-01T21:00:00+01:00 Warsaw,25.648412560748042
2022-03-01T22:00:00+01:00 Warsaw,26.960700515287893
2022-03-01T23:00:00+01:00 Warsaw,27.741624674046477
2022-03-02T00:00:00+01:00 Warsaw,28.410782998959224
2022-03-02T01:00:00+01:00 Warsaw,29.07659887585375
2022-03-02T02:00:00+01:00 Warsaw,28.924232845792062
2022-03-02T03:00:00+01:00 Warsaw,29.093071767451274
2022-03-02T04:00:00+01:00 Warsaw,29.83961178044478
2022-03-02T05:00:00+01:00 Warsaw,30.40655871615145
2022-03-02T06:00:00+01:00 Warsaw,30.740659641265868
2022-03-02T07:00:00+01:00 Warsaw,29.110032958966713
2022-03-02T08:00:00+01:00 Warsaw,23.900944655236476
2022-03-02T09:00:00+01:00 Warsaw,16.448526561166872
2022-03-02T10:00:00+01:00 Warsaw,16.480993869175986
2022-03-02T11:00:00+01:00 Warsaw,15.466542879508287
2022-03-02T12:00:00+01:00 Warsaw,14.21047666083915
2022-03-02T13:00:00+01:00 Warsaw,13.099290959941017
2022-03-02T14:00:00+01:00 Warsaw,13.210979393827854
2022-03-02T15:00:00+01:00 Warsaw,13.01476763320789
2022-03-02T16:00:00+01:00 Warsaw,14.826254079843743
2022-03-02T17:00:00+01:00 Warsaw,18.45053367707464
2022-03-02T18:00:00+01:00 Warsaw,21.79310547060783
2022-03-02T19:00:00+01:00 Warsaw,23.33692474156618
2022-03-02T20:00:00+01:00 Warsaw,24.07414480787847
2022-03-02T21:00:00+01:00 Warsaw,24.903787075406978
2022-03-02T22:00:00+01:00 Warsaw,25.2321604332372
2022-03-02T23:00:00+01:00 Warsaw,25.999708765396367
2022-03-03T00:00:00+01:00 Warsaw,26.960699771536724
2022-03-03T01:00:00+01:00 Warsaw,27.805605002690243
2022-03-03T02:00:00+01:00 Warsaw,28.28827191257035
2022-03-03T03:00:00+01:00 Warsaw,28.84494898796082
2022-03-03T04:00:00+01:00 Warsaw,29.240187124212582
2022-03-03T05:00:00+01:00 Warsaw,29.270308099940976
2022-03-03T06:00:00+01:00 Warsaw,29.06155274023665
2022-03-03T07:00:00+01:00 Warsaw,26.92774328165584
2022-03-03T08:00:00+01:00 Warsaw,21.602411813787082
2022-03-03T09:00:00+01:00 Warsaw,17.08653628351144
2022-03-03T10:00:00+01:00 Warsaw,16.585191501725078
2022-03-03T11:00:00+01:00 Warsaw,15.36922614905128
2022-03-03T12:00:00+01:00 Warsaw,14.872640341245623
2022-03-03T13:00:00+01:00 Warsaw,15.021451886192514
2022-03-03T14:00:00+01:00 Warsaw,16.17458638832367
2022-03-03T15:00:00+01:00 Warsaw,18.008726675862306
2022-03-03T16:00:00+01:00 Warsaw,19.899793400156593
2022-03-03T17:00:00+01:00 Warsaw,19.748890667080882
2022-03-03T18:00:00+01:00 Warsaw,21.819244668638266
2022-03-03T19:00:00+01:00 Warsaw,20.06518828129253
2022-03-03T20:00:00+01:00 Warsaw,20.72044035790506
2022-03-03T21:00:00+01:00 Warsaw,20.76544529558608
2022-03-03T22:00:00+01:00 Warsaw,21.15862774486343
2022-03-03T23:00:00+01:00 Warsaw,21.70037116029196
